"""","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)","平成25年度(2013)"
"目的別_歳出決算額(百万円)","550953.0","539469.0","545821.0","570009.0","583271.0"
"","","","","",""
"目的別_   議会費(百万円)","1201.0","1179.0","1277.0","1182.0","1154.0"
"目的別_   総務費(百万円)","32069.0","35186.0","22724.0","25829.0","42403.0"
"目的別_   民生費(百万円)","69086.0","68065.0","68137.0","70474.0","67228.0"
"目的別_   衛生費(百万円)","26123.0","19148.0","20211.0","17536.0","18058.0"
"目的別_   労働費(百万円)","7280.0","6674.0","8697.0","5930.0","3324.0"
"目的別_   農林水産業費(百万円)","35094.0","29436.0","30351.0","27459.0","30437.0"
"目的別_   商工費(百万円)","62671.0","69732.0","80002.0","79762.0","79887.0"
"目的別_   土木費(百万円)","93499.0","84185.0","78804.0","96102.0","104329.0"
"目的別_   警察費(百万円)","28114.0","28602.0","29000.0","28335.0","27174.0"
"目的別_   教育費(百万円)","111413.0","110652.0","109220.0","105981.0","105130.0"
"目的別_   災害復旧費(百万円)","1199.0","1202.0","9486.0","23634.0","14606.0"
"目的別_   公債費(百万円)","71948.0","74432.0","77206.0","76940.0","77680.0"
"目的別_   諸支出金(百万円)","0.0","0.0","0.0","10845.0","11862.0"
"目的別_   利子割交付金(百万円)","710.0","670.0","582.0","516.0","508.0"
"目的別_   配当割交付金(百万円)","253.0","308.0","338.0","392.0","747.0"
"目的別_   株式等譲渡所得割交付金(百万円)","105.0","88.0","70.0","72.0","971.0"
"目的別_   地方消費税交付金(百万円)","8636.0","8622.0","8567.0","8548.0","8475.0"
"目的別_   ゴルフ場利用税交付金(百万円)","365.0","338.0","320.0","308.0","294.0"
"目的別_   自動車取得税交付金(百万円)","1187.0","952.0","830.0","1010.0","866.0"
