"""","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)","平成25年度(2013)"
"性質別_歳出決算額(百万円)","550953.0","539469.0","545821.0","570009.0","583271.0"
"","","","","",""
"性質別_   人件費(百万円)","150815.0","148675.0","148649.0","145537.0","137883.0"
"性質別_   物件費(百万円)","12984.0","12912.0","12546.0","12595.0","13043.0"
"性質別_   維持補修費(百万円)","3380.0","3645.0","3552.0","3485.0","3459.0"
"","","","","",""
"性質別_   扶助費(百万円)","9437.0","10626.0","11168.0","10140.0","10161.0"
"性質別_   補助費等(百万円)","82845.0","88281.0","92233.0","90541.0","92326.0"
"","","","","",""
"性質別_   普通建設事業費(百万円)","118544.0","112751.0","100861.0","116844.0","130558.0"
"性質別_　 補助事業費(百万円)","50731.0","43756.0","52003.0","73853.0","89394.0"
"性質別_　 単独事業費(百万円)","51371.0","62770.0","39052.0","23533.0","24928.0"
"性質別_　 国直轄事業負担金(百万円)","16266.0","6142.0","9780.0","19395.0","15612.0"
"性質別_　 同級他団体事業負担金(百万円)","0.0","0.0","0.0","0.0","0.0"
"性質別_　 受託事業費(百万円)","176.0","83.0","26.0","63.0","623.0"
"","","","","",""
"性質別_   災害復旧事業費(百万円)","1197.0","1202.0","9486.0","23634.0","14594.0"
"性質別_   失業対策費(百万円)","0.0","0.0","0.0","0.0","0.0"
"性質別_   公債費(百万円)","71865.0","74224.0","77116.0","76893.0","77632.0"
"","","","","",""
"性質別_   積立金(百万円)","35176.0","17574.0","10145.0","12437.0","25228.0"
"性質別_   投資及び出資金(百万円)","98.0","99.0","920.0","12.0","12.0"
"性質別_   貸付金(百万円)","62874.0","68326.0","77968.0","76760.0","77270.0"
"性質別_   繰出金(百万円)","1738.0","1155.0","1179.0","1129.0","1107.0"
"性質別_   前年度繰上充当金(百万円)","0.0","0.0","0.0","0.0","0.0"
